s,h,a,p
0,[-1.43100115]
1,[-1.84684855]
2,[0.75525703]
3,[-0.42016268]
4,[1.26551176]
5,[0.]
6,[2.26806251]
7,[1.14764453]
8,[1.26995893]
9,[1.57532901]
10,[0.86660596]
11,[0.95908186]
12,[0.]
13,[-1.24711744]
14,[0.]
15,[-1.32683607]
16,[0.]
17,[-2.0151528]
18,[1.66121962]
19,[-2.47808141]
20,[-2.09766222]
21,[-4.69629718]
22,[-1.26633322]
23,[-2.77662028]
24,[0.]
25,[-2.11766527]
26,[-1.24446444]
27,[0.88768443]
28,[-1.82924881]
29,[4.90936021]
30,[0.]
31,[2.51790155]
32,[0.53583859]
33,[1.09391385]
34,[1.7120325]
35,[-0.40215345]
36,[1.6389706]
37,[-1.29162063]
38,[2.49371314]
39,[-0.53845335]
40,[1.55346111]
41,[0.]
42,[1.51785845]
43,[1.31596679]
44,[3.07851223]
45,[1.46870692]
46,[1.43553898]
47,[1.16031862]
48,[-1.35354344]
49,[-0.55503744]
50,[-5.75087476]
51,[0.]
52,[-3.59302019]
53,[-0.64026329]
54,[-4.17013244]
55,[0.]
56,[-2.03860653]
57,[1.00540668]
58,[-0.91740336]
59,[1.74236664]
